algorithm,rows,cols,density,num_agents,seed,target_idx,makespan,time_to_discovery,mean_utilization,min_utilization
single_agent_stc,50,50,0.100,1,0,0,2283,1798,1.0000,1.0000
single_agent_stc,50,50,0.100,1,0,1,2283,1550,1.0000,1.0000
single_agent_stc,50,50,0.100,1,0,2,2283,1530,1.0000,1.0000
single_agent_stc,50,50,0.100,1,0,3,2283,1420,1.0000,1.0000
single_agent_stc,50,50,0.100,1,0,4,2283,871,1.0000,1.0000
single_agent_stc,50,50,0.100,1,0,5,2283,1141,1.0000,1.0000
single_agent_stc,50,50,0.100,1,0,6,2283,1579,1.0000,1.0000
single_agent_stc,50,50,0.100,1,0,7,2283,1043,1.0000,1.0000
single_agent_stc,50,50,0.100,1,0,8,2283,1583,1.0000,1.0000
single_agent_stc,50,50,0.100,1,0,9,2283,95,1.0000,1.0000
single_agent_stc,50,50,0.100,1,0,10,2283,1955,1.0000,1.0000
single_agent_stc,50,50,0.100,1,0,11,2283,1046,1.0000,1.0000
single_agent_stc,50,50,0.100,1,0,12,2283,2084,1.0000,1.0000
single_agent_stc,50,50,0.100,1,0,13,2283,779,1.0000,1.0000
single_agent_stc,50,50,0.100,1,0,14,2283,404,1.0000,1.0000
single_agent_stc,50,50,0.100,1,0,15,2283,1277,1.0000,1.0000
single_agent_stc,50,50,0.100,1,0,16,2283,927,1.0000,1.0000
single_agent_stc,50,50,0.100,1,0,17,2283,576,1.0000,1.0000
single_agent_stc,50,50,0.100,1,0,18,2283,6,1.0000,1.0000
single_agent_stc,50,50,0.100,1,0,19,2283,780,1.0000,1.0000
voronoi_stc,50,50,0.100,2,0,0,1307,1014,0.8730,0.7460
voronoi_stc,50,50,0.100,2,0,1,1307,628,0.8730,0.7460
voronoi_stc,50,50,0.100,2,0,2,1307,608,0.8730,0.7460
voronoi_stc,50,50,0.100,2,0,3,1307,698,0.8730,0.7460
voronoi_stc,50,50,0.100,2,0,4,1307,871,0.8730,0.7460
voronoi_stc,50,50,0.100,2,0,5,1307,415,0.8730,0.7460
voronoi_stc,50,50,0.100,2,0,6,1307,585,0.8730,0.7460
voronoi_stc,50,50,0.100,2,0,7,1307,917,0.8730,0.7460
voronoi_stc,50,50,0.100,2,0,8,1307,589,0.8730,0.7460
voronoi_stc,50,50,0.100,2,0,9,1307,95,0.8730,0.7460
voronoi_stc,50,50,0.100,2,0,10,1307,991,0.8730,0.7460
voronoi_stc,50,50,0.100,2,0,11,1307,920,0.8730,0.7460
voronoi_stc,50,50,0.100,2,0,12,1307,1108,0.8730,0.7460
voronoi_stc,50,50,0.100,2,0,13,1307,779,0.8730,0.7460
voronoi_stc,50,50,0.100,2,0,14,1307,404,0.8730,0.7460
voronoi_stc,50,50,0.100,2,0,15,1307,823,0.8730,0.7460
voronoi_stc,50,50,0.100,2,0,16,1307,995,0.8730,0.7460
